,City,Latitude,Longitude,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,Jiaozuo,35.2397,113.2331,80.85,78,100,7.38,CN,1627473600
1,Mount Isa,-20.7333,139.5,75.79,27,12,4.7,AU,1627473600
2,Mar del Plata,-38.0023,-57.5575,42.58,65,80,25.72,AR,1627473600
3,Ostrovnoy,68.0531,39.5131,48.38,83,99,9.98,RU,1627473600
4,Igarka,67.4667,86.5833,55.33,79,100,9.19,RU,1627473600
5,East London,-33.0153,27.9116,65.84,62,33,11.79,ZA,1627473600
6,Ugoofaaru,5.6667,73.0,82.96,75,100,13.11,MV,1627473600
7,Grindavik,63.8424,-22.4338,54.39,86,32,12.19,IS,1627473600
8,San Quintín,30.4833,-115.95,68.25,90,11,7.52,MX,1627473600
9,Avarua,-21.2078,-159.775,73.89,84,60,6.98,CK,1627473600
10,Mataura,-46.1927,168.8643,45.23,96,92,3.29,NZ,1627473600
11,Arraial do Cabo,-22.9661,-42.0278,71.11,86,8,15.08,BR,1627473600
12,Ushuaia,-54.8,-68.3,40.89,91,83,4.03,AR,1627473600
13,Zhigansk,66.7697,123.3711,67.86,43,0,6.62,RU,1627473600
14,Port Keats,-14.25,129.55,76.84,78,12,5.5,AU,1627473600
15,Bambous Virieux,-20.3428,57.7575,70.39,80,100,23.02,MU,1627473600
16,Lüderitz,-26.6481,15.1594,64.47,52,0,21.79,NA,1627473600
17,Kapaa,22.0752,-159.319,77.07,77,60,11.65,US,1627473600
18,Hilo,19.7297,-155.09,75.52,90,81,2.62,US,1627473600
19,Jamestown,42.097,-79.2353,64.22,97,51,0.18,US,1627473600
20,Provideniya,64.3833,-173.3,46.67,99,100,10.83,RU,1627473600
21,Mariehamn,60.0973,19.9348,67.23,94,47,5.44,AX,1627473600
22,Busembatia,0.7697,33.6131,82.74,46,98,6.89,UG,1627473600
23,Rikitea,-23.1203,-134.9692,74.52,81,100,16.69,PF,1627473600
24,Lebu,-37.6167,-73.65,44.74,76,0,16.75,CL,1627473600
25,Belmonte,-15.8631,-38.8828,75.83,85,21,6.22,BR,1627473600
26,Padang,-0.9492,100.3543,83.88,79,91,0.56,ID,1627473600
27,Burgeo,47.6167,-57.6152,61.03,98,100,7.45,CA,1627473600
28,Laurel,39.0993,-76.8483,76.6,75,52,6.24,US,1627473600
29,Punta Arenas,-53.15,-70.9167,44.83,86,83,9.01,CL,1627473600
30,Alofi,-19.0595,-169.9187,71.38,89,100,16.6,NU,1627473600
31,Nagato,34.3833,131.2,85.03,80,36,9.17,JP,1627473600
32,Puerto Ayora,-0.7393,-90.3518,71.26,85,65,8.9,EC,1627473600
33,Busselton,-33.65,115.3333,59.36,73,35,20.42,AU,1627473600
34,Batesville,35.7698,-91.641,75.15,95,4,1.59,US,1627473600
35,Khatanga,71.9667,102.5,88.86,33,96,13.27,RU,1627473600
36,Labuhan,-6.8844,112.2051,83.61,63,26,6.35,ID,1627473600
37,Cabo San Lucas,22.8909,-109.9124,80.94,73,50,10.0,MX,1627473600
38,Longyearbyen,78.2186,15.6401,44.06,89,93,1.43,SJ,1627473600
39,San Jose,37.3394,-121.895,65.7,73,1,2.71,US,1627473600
40,Santa Maria,-29.6842,-53.8069,41.77,62,0,10.6,BR,1627473600
41,College,64.8569,-147.8028,54.34,95,93,7.4,US,1627473600
42,Sitka,57.0531,-135.33,55.38,84,65,2.3,US,1627473600
43,George Town,5.4112,100.3354,87.85,67,50,4.29,MY,1627473600
44,Hermanus,-34.4187,19.2345,57.6,60,99,18.28,ZA,1627473600
45,Nikolskoye,59.7035,30.7861,82.35,48,100,4.61,RU,1627473600
46,Touros,-5.1989,-35.4608,83.28,82,17,15.3,BR,1627473600
47,Acarí,-15.4311,-74.6158,63.01,76,51,2.62,PE,1627473600
48,Horta,38.5333,-28.6333,74.05,74,27,8.99,PT,1627473600
49,Lagoa,39.05,-27.9833,71.13,85,100,10.8,PT,1627473600
50,Sola,-13.8833,167.55,80.65,78,74,22.35,VU,1627473600
51,Castro,-24.7911,-50.0119,37.63,84,11,6.78,BR,1627473600
52,Geraldton,-28.7667,114.6,64.27,74,76,13.91,AU,1627473600
53,Nara,34.6851,135.8049,85.39,55,34,2.95,JP,1627473600
54,Bluff,-46.6,168.3333,47.48,84,96,8.66,NZ,1627473600
55,Ponta do Sol,32.6667,-17.1,77.47,70,24,1.61,PT,1627473600
56,Faya,18.3851,42.4509,75.25,50,48,12.84,SA,1627473600
57,Mahébourg,-20.4081,57.7,70.29,79,99,23.24,MU,1627473600
58,Huarmey,-10.0681,-78.1522,64.11,88,46,8.68,PE,1627473600
59,Brigantine,39.4101,-74.3646,74.28,82,55,10.31,US,1627473600
60,Bethel,41.3712,-73.414,65.52,91,5,6.42,US,1627473600
61,Mittagong,-34.45,150.45,53.22,70,66,17.29,AU,1627473600
62,Saskylakh,71.9167,114.0833,71.73,33,31,13.89,RU,1627473600
63,Poli,-3.3333,36.8,73.31,42,90,8.57,TZ,1627473600
64,Vaini,-21.2,-175.2,70.79,76,40,17.98,TO,1627473600
65,Badiraguato,25.3667,-107.5167,77.38,96,45,3.36,MX,1627473600
66,New Norfolk,-42.7826,147.0587,45.63,72,32,9.33,AU,1627473600
67,Vila Franca do Campo,37.7167,-25.4333,72.59,87,77,5.64,PT,1627473600
68,Burnie,-41.0667,145.9167,46.8,79,70,17.43,AU,1627473600
69,Sikasso,10.9167,-7.0,74.71,92,100,7.47,ML,1627473600
70,Atuona,-9.8,-139.0333,77.65,72,7,18.48,PF,1627473600
71,Torbay,47.6666,-52.7314,65.37,95,93,9.82,CA,1627473600
72,Yamada,39.4667,141.95,73.22,97,100,4.9,JP,1627473600
73,Saquisilí,-0.8333,-78.6667,47.82,95,74,6.44,EC,1627473600
